CompoundName,MolecularFormula,ExactMass,MonoMass,SMILES,kingdom,superklass,klass,subklass
Argophyllin B,C20H28O7,380.1835032,380.1835033,C\C=C(\C)C(=O)O[C@@H]1C[C@@]2(C)O[C@@H]2C[C@H](O)[C@H](CO)C[C@H]2OC(=O)C(=C)[C@H]12,NULL,NULL,NULL,NULL
Cinncassiol C,C20H28O7,380.1835032,380.1835033,CC(CO)C1=CC(=O)C2(C)CC3(O)OC4(C(O)C(C)CCC24O)C(=O)C13C,NULL,NULL,NULL,NULL
Deacetylisovaltrate,C20H28O7,380.1835032,380.1835033,CC(C)CC(=O)OCC1=COC(OC(=O)CC(C)C)C2C1=CC(O)C21CO1,NULL,NULL,NULL,NULL
6b-Angeloyl-3b-8b-9b-trihydroxy-7(11)-eremophilen-12-8-olide,C20H28O7,380.1835032,380.1835033,C\C=C(/C)C(=O)OC1C2=C(C)C(=O)OC2(O)C(O)C2CCC(O)C(C)C12C,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones
(3'x-5'a-9'x-10'b)-O-(6-Oxo-7-drimen-11-yl)umbelliferone,C24H28O4,380.1987594,380.1987594,CC1=CC(=O)C2C(C)(C)CCCC2(C)C1COC1=CC2=C(C=CC(=O)O2)C=C1,NULL,NULL,NULL,NULL
Gancaonin U,C24H28O4,380.1987594,380.1987594,CC(C)=CCC1=C(O)C(CC=C(C)C)=C2CCC3=CC(O)=C(O)C=C3C2=C1O,NULL,NULL,NULL,NULL
Kinocoumarin,C24H28O4,380.1987594,380.1987594,CC(C)(C=C)C1=C2OC(=O)C=CC2=C(O)C2=C1OC(C)(C)C(=C2)C(C)(C)C=C,NULL,NULL,NULL,NULL
Levistolide A,C24H28O4,380.1987594,380.1987594,CCC\C=C1/OC(=O)C2=C1CCC1C3CCC4(C21)\C(OC(=O)C4=C3)=C\CCC,NULL,NULL,NULL,NULL
Norbixin,C24H28O4,380.1987594,380.1987594,CC(C=CC=C(C)C=CC(O)=O)=CC=CC=C(C)C=CC=C(C)C=CC(O)=O,NULL,NULL,NULL,NULL
Tokinolide A,C24H28O4,380.1987594,380.1987594,CCC\C=C1/OC(=O)C2=C1CCC1C2C23CCC=CC12C(=O)O\C3=C\CCC,NULL,NULL,NULL,NULL
Tokinolide B,C24H28O4,380.1987594,380.1987594,CCC\C=C1/OC(=O)C2=CC3CCC12C1(OC(=O)C2=C1CCC=C2)C3CCC,NULL,NULL,NULL,NULL
[6]-Gingerdiol 3-5-diacetate,C21H32O6,380.2198887,380.2198888,CCCCCC(CC(CCC1=CC(OC)=C(O)C=C1)OC(C)=O)OC(C)=O,NULL,NULL,NULL,NULL
Persin,C23H40O4,380.2926598,380.2926598,CCCCC\C=C/C\C=C/CCCCCCCC(=O)CC(O)COC(C)=O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
[12]-Gingerdiol,C23H40O4,380.2926598,380.2926598,CCCCCCCCCCCC(O)CC(O)CCC1=CC(OC)=C(O)C=C1,NULL,NULL,NULL,NULL
2-Hydroxy-4-oxo-5-12-heneicosadien-1-yl acetate,C23H40O4,380.2926598,380.2926598,CCCCCCCC\C=C/CCCCC\C=C\C(=O)CC(O)COC(C)=O,NULL,NULL,NULL,NULL
Isopersin,C23H40O4,380.2926598,380.2926598,CCCCC\C=C/C\C=C/CCCCCCCC(=O)CC(CO)OC(C)=O,NULL,NULL,NULL,NULL
Hexacosanal,C26H52O,380.4018163,380.4018163,CCCCCCCCCCCCCCCCCCCCCCCCCC=O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty aldehydes
Oxopurpureine,C21H19NO6,381.1212373,381.1212373,COC1=C(OC)C=C2C(=C1)C(=O)C1=NC=CC3=C1C2=C(OC)C(OC)=C3OC,NULL,NULL,NULL,NULL
2-Methylthio-N6-(delta2-isopentenyl)adenosine,C16H23N5O4S,381.1470754,381.1470749,CSC1=NC(NCC=C(C)C)=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=N1,NULL,NULL,NULL,NULL
(R)-Pantothenic acid 4'-O-b-D-glucoside,C15H27NO10,381.1634961,381.1634961,CC(C)(COC1OC(CO)C(O)C(O)C1O)C(O)C(=O)NCCC(O)=O,NULL,NULL,NULL,NULL
(Z)-9-Glucosylzeatin,C16H23N5O6,381.1648335,381.1648335,C\C(CO)=C/CNC1=C2N=CN(C3OC(CO)C(O)C(O)C3O)C2=NC=N1,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
6-(4-O-beta-D-Glucosyl-3-methyl-trans-but-2-enyl-amino)-purine,C16H23N5O6,381.1648335,381.1648335,C\C(CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C/CNC1=NC=NC2=C1NC=N2,NULL,NULL,NULL,NULL
cis-Zeatin-O-glucoside,C16H23N5O6,381.1648335,381.1648335,C\C(CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C/CNC1=NC=NC2=C1NC=N2,NULL,NULL,NULL,NULL
Petasitenine,C19H27NO7,381.1787522,381.1787522,C[C@H]1O[C@]11C[C@@H](C)[C@@](C)(O)C(=O)OC\C2=C\CN(C)CC[C@@H](OC1=O)C2=O,NULL,NULL,NULL,NULL
Sphinganine 1-phosphate,C18H40NO5P,381.2644104,381.2644099,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)COP(O)(O)=O,Organic compounds,Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids
Solanthrene,C27H43N,381.3395504,381.3395504,C[C@@H]1C2CC[C@H](C)CN2C2CC3C4CC=C5CCCCC5(C)C4CCC3(C)C12,NULL,NULL,NULL,NULL
Quercetin 3-sulfate,C15H10O10S,381.9994677,381.9994672,OC1=CC(O)=C2C(=O)C(OS(O)(=O)=O)=C(OC2=C1)C1=CC=C(O)C(O)=C1,NULL,NULL,NULL,NULL
(+)-12a-Hydroxypachyrrhizone,C20H14O8,382.0688674,382.0688674,COC1=C2OC=CC2=CC2=C1OC1COC3=CC4=C(OCO4)C=C3C1(O)C2=O,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Rotenoids
7-Hydroxy-2-methyl-4-oxo-4H-1-benzopyran-5-carboxylic acid 7-glucoside,C17H18O10,382.0899968,382.0899968,CC1=CC(=O)C2=C(C=C(OC3OC(CO)C(O)C(O)C3O)C=C2O1)C(O)=O,NULL,NULL,NULL,NULL
Artonin K,C21H18O7,382.1052529,382.1052529,COC1=CC2=C(C(O)=C1)C(=O)C1=C(O2)C2=C3C(C1)C(C)(C)OC3=C(O)C=C2O,NULL,NULL,NULL,NULL
(2E-6E)-farnesyl diphosphate,C15H28O7P2,382.1310272,382.1310272,[H]OP(=O)(O[H])OP(=O)(O[H])OC\C=C(/C)CC\C=C(/C)CCC=C(C)C,NULL,NULL,NULL,NULL
Farnesyl pyrophosphate,C15H28O7P2,382.1310272,382.1310272,[H]OP(=O)(O[H])OP(=O)(O[H])OC\C=C(/C)CC\C=C(/C)CCC=C(C)C,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids
Artocarpetin B,C22H22O6,382.1416384,382.1416384,COC1=C(CC=C(C)C)C2=C(C(O)=C1)C(=O)C=C(O2)C1=C(OC)C=C(O)C=C1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
Kanzonol O,C22H22O6,382.1416384,382.1416384,COC1=C2CC(COC2=C(C=O)C(O)=C1)C1=C2OC(C)(C)C=CC2=C(O)C=C1,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Pyranoisoflavonoids
Glycyrin,C22H22O6,382.1416384,382.1416384,COC1=CC2=C(C=C(C(=O)O2)C2=C(O)C=C(O)C=C2)C(OC)=C1CC=C(C)C,NULL,NULL,NULL,NULL
Cyclocalopin B,C19H26O8,382.1627678,382.1627678,CC1COC(=O)C2OC(C)(O)C3(CC=C(C)C(OC(C)=O)C3OC(C)=O)C12,NULL,NULL,NULL,NULL
trans-1-2-10-Trihydroxydihydrolinalyl oxide 7-glucoside,C16H30O10,382.1838972,382.1838972,CC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC(CO)(O1)C(O)CO,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
Cinncassiol A,C20H30O7,382.1991533,382.1991533,CC(CO)C1=C(C)C2(O)C(O)(C1)C1(C)CC(=O)OC22C(O)C(C)CCC12O,NULL,NULL,NULL,NULL
Cinncassiol C3,C20H30O7,382.1991533,382.1991533,CC(C)C1(O)CC(=O)C2(C)CC3(O)OC4(C(O)C(C)CCC24O)C(=O)C13C,NULL,NULL,NULL,NULL
Foetidin,C24H30O4,382.2144094,382.2144094,CC1(C)C(O)CCC2(C)C(COC3=CC(=O)OC4=CC=CC=C34)C(=C)CCC12,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,NULL
(3'a-5'a-9'x-10'b)-O-(3-Hydroxy-7-drimen-11-yl)umbelliferone,C24H30O4,382.2144094,382.2144094,CC1=CCC2C(C)(C)C(O)CCC2(C)C1COC1=CC2=C(C=CC(=O)O2)C=C1,NULL,NULL,NULL,NULL
Assafoetidin,C24H30O4,382.2144094,382.2144094,C\C(CCC1=C(C)CCC(O)C1(C)C)=C\COC1=CC2=C(C=CC(=O)O2)C=C1,NULL,NULL,NULL,NULL
Farnesiferol A,C24H30O4,382.2144094,382.2144094,CC1(C)C(O)CCC2(C)C(COC3=CC4=C(C=CC(=O)O4)C=C3)C(=C)CCC12,NULL,NULL,NULL,NULL
Gancaonin R,C24H30O4,382.2144094,382.2144094,CC(C)=CCC1=C(CCC2=CC(O)=C(O)C=C2)C(CC=C(C)C)=C(O)C=C1O,NULL,NULL,NULL,NULL
(3S-5R-6R)-3-5-dihydroxy-6-7-didehydro-5-6-dihydro-12'-apo-尾-caroten-12'-al,C25H34O3,382.250795,382.250795,[H]/C(=C(/[H])\C(\[H])=C(/C)\C(\[H])=C(/[H])\C(\[H])=C(/C)C([H])=C=C1C(C)(C)C[C@]([H])(O)C[C@@]1(C)O)/C(/[H])=C(\C)C=O,NULL,NULL,NULL,NULL
(3S-5R-6S)-5-6-epoxy-3-hydroxy-5-6-dihydro-12'-apo-尾-caroten-12'-al,C25H34O3,382.250795,382.250795,[H]/C(=C(/[H])\C(\[H])=C(/C)\C(\[H])=C(/[H])\C(\[H])=C(/C)\C(\[H])=C(/[H])[C@@]12O[C@]1(C)C[C@@]([H])(O)CC2(C)C)/C(/[H])=C(\C)C=O,NULL,NULL,NULL,NULL
Apo-12'-capsorubinal,C25H34O3,382.250795,382.250795,O=C\C(C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C(=O)[C@]1(C)C[C@@H](O)CC1(C)C,NULL,NULL,NULL,NULL
Apo-12'-violaxanthal,C25H34O3,382.250795,382.250795,C\C(C=O)=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C12OC1(C)CC(O)CC2(C)C,NULL,NULL,NULL,NULL
Lepidiumterpenyl ester,C23H42O4,382.3083098,382.3083098,CC(CCCC(C)CCC(O)=O)CCCC(C)C(=O)OCCCCCC=C,NULL,NULL,NULL,NULL
Persenone B,C23H42O4,382.3083098,382.3083098,CCCCCCCCCCCCCCC\C=C\C(=O)CC(O)COC(C)=O,NULL,NULL,NULL,NULL
5伪-cholesta-8-24-dien-3-one,C27H42O,382.323566,382.323566,[H][C@@]1(CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C[C@]1([H])CC3)[C@H](C)CCC=C(C)C,NULL,NULL,NULL,NULL
7-dehydrodesmosterol,C27H42O,382.323566,382.323566,[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC=C(C)C,NULL,NULL,NULL,NULL
delta-5-7-22-Cholestatrienol,C27H42O,382.323566,382.323566,C(C)(C)C\C=C\[C@@H](C)C1CCC2C3=CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,NULL,NULL,NULL,NULL
Pentacosanoic acid,C25H50O2,382.3810809,382.3810808,CCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
Lepidiumsesterterpenol,C25H50O2,382.3810809,382.3810808,CCC(C)C\C=C\C(C)C(O)CCC(C)CCCC(C)CCCC(C)(C)O,NULL,NULL,NULL,NULL
1-Isohexacosanol,C26H54O,382.4174664,382.4174664,CC(C)CCCCCCCCCCCCCCCCCCCCCCCO,NULL,NULL,NULL,NULL
Hexacosan-1-ol,C26H54O,382.4174664,382.4174664,CCCCCCCCCCCCCCCCCCCCCCCCCCO,NULL,NULL,NULL,NULL
Gravacridonediolacetate,C21H21NO6,383.1368874,383.1368874,CN1C2=CC=CC=C2C(=O)C2=C1C1=C(OC(C1)C(C)(O)COC(C)=O)C=C2O,NULL,NULL,NULL,NULL
7-methylthioheptyldesulfoglucosinolate,C15H29NO6S2,383.14363,383.14363,CSCCCCCCCC(SC1OC(CO)C(O)C(O)C1O)=NO,NULL,NULL,NULL,NULL
Niazimin A,C18H25NO8,383.1580168,383.1580168,CCOC(=O)NCC1=CC=C(OC2OC(C)C(OC(C)=O)C(O)C2O)C=C1,NULL,NULL,NULL,NULL
Dihydrozeatin-O-glucoside,C16H25N5O6,383.1804835,383.1804836,CC(CCNC1=NC=NC2=C1N=CN2)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides
Dihydrozeatin-9-N-glucoside,C16H25N5O6,383.1804835,383.1804836,CC(CO)CCNC1=NC=NC2=C1N=CN2C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NULL,NULL,NULL,NULL
Guineensine,C24H33NO3,383.2460439,383.2460439,CC(C)CNC(=O)\C=C\C=C\CCCCCC\C=C\C1=CC=C2OCOC2=C1,NULL,NULL,NULL,NULL
9-D1-phytoprostane,C21H37NO5,383.2671733,383.2671733,[H]\C(CCCCC)=C(/[H])CC([H])=C([H])CC(O)CC(=O)OC(CC([O-])=O)C[N+](C)(C)C,NULL,NULL,NULL,NULL
glutathioselenol,C10H14N3O6SSe,383.9768532,381.961752,[N+]C(CCC(=O)NC(CS[Se])C(=O)NCC([O-])=O)C([O-])=O,NULL,NULL,NULL,NULL
Theasaponin F2,C20H16O8,384.0845175,384.0845175,CC(=O)C1=C(O)C2=C(CC3=CC(O)=CC(O)=C3C2=O)C=C1\C=C(/O)CC(O)=O,NULL,NULL,NULL,NULL
Eleutheroside B1,C17H20O10,384.1056468,384.1056469,COC1=CC2=C(OC(=O)C=C2)C(OC)=C1OC1OC(CO)C(O)C(O)C1O,NULL,NULL,NULL,NULL
Tomenin,C17H20O10,384.1056468,384.1056469,COC1=C(OC)C(OC2OC(CO)C(O)C(O)C2O)=C2C=CC(=O)OC2=C1,NULL,NULL,NULL,NULL
3-O-Methyluralenol,C21H20O7,384.120903,384.120903,COC1=C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC(O)=C(O)C(CC=C(C)C)=C1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
3'-Methylgancaonin P,C21H20O7,384.120903,384.120903,COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C(CC=C(C)C)=C2O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
Uralene,C21H20O7,384.120903,384.120903,COC1=C(OC2=C(C(O)=C(O)C=C2)C1=O)C1=CC(O)=C(O)C=C1CC=C(C)C,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids
Licopyranocoumarin,C21H20O7,384.120903,384.120903,COC1=C2C=C(C(=O)OC2=CC2=C1CCC(C)(CO)O2)C1=C(O)C=C(O)C=C1,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-3-enes
5-Methoxyhinokinin,C21H20O7,384.120903,384.120903,COC1=C2OCOC2=CC(CC2C(CC3=CC4=C(OCO4)C=C3)COC2=O)=C1,NULL,NULL,NULL,NULL
buddlenol E,C21H20O7,384.120903,384.120903,COC1=CC(\C=C\C(C)=O)=CC(=C1O)C1=CC(\C=C\C(O)=O)=CC(OC)=C1O,NULL,NULL,NULL,NULL
Calebin A,C21H20O7,384.120903,384.120903,COC1=C(O)C=CC(\C=C\C(=O)COC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=C1,NULL,NULL,NULL,NULL
Dulxanthone F,C21H20O7,384.120903,384.120903,COC1=CC(OC)=C(OC)C2=C1C(=O)C1=C(O2)C=C2OC(C)(C)C=CC2=C1O,NULL,NULL,NULL,NULL
Gancaonin D,C21H20O7,384.120903,384.120903,COC1=C(O)C=C(C=C1)C1=COC2=C(C\C=C(/C)CO)C(O)=CC(O)=C2C1=O,NULL,NULL,NULL,NULL
Isolicopyranocoumarin,C21H20O7,384.120903,384.120903,COC1=C2C=C(C(=O)OC2=CC2=C1CC(O)C(C)(C)O2)C1=C(O)C=C(O)C=C1,NULL,NULL,NULL,NULL
Licofuranocoumarin,C21H20O7,384.120903,384.120903,COC1=C2CC(OC2=CC2=C1C=C(C(=O)O2)C1=C(O)C=C(O)C=C1)C(C)(C)O,NULL,NULL,NULL,NULL
Piperenol A,C21H20O7,384.120903,384.120903,OC1C=C(COC(=O)C2=CC=CC=C2)C(O)C(OC(=O)C2=CC=CC=C2)C1O,NULL,NULL,NULL,NULL
Piperenol B,C21H20O7,384.120903,384.120903,OC1C(O)C(O)(COC(=O)C2=CC=CC=C2)C=CC1OC(=O)C1=CC=CC=C1,NULL,NULL,NULL,NULL
S-adenosyl-L-homocysteine,C14H20N6O5S,384.1215889,384.1215885,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O,NULL,NULL,NULL,NULL
Kanzonol N,C22H24O6,384.1572885,384.1572885,COC1=C2CC(COC2=C(C=O)C(O)=C1)C1=C(O)C(CC=C(C)C)=C(O)C=C1,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,O-methylated isoflavonoids
12-Dehydroporson,C22H24O6,384.1572885,384.1572885,COC1=C2C=C(CC(=O)C(=O)CCCCC3=CC2=C(OC)C(OC)=C3O)C=C1,NULL,NULL,NULL,NULL
5-7-Dihydroxy-3'-4'-dimethoxy-5'-prenylflavanone,C22H24O6,384.1572885,384.1572885,COC1=C(OC)C(CC=C(C)C)=CC(=C1)C1CC(=O)C2=C(O)C=C(O)C=C2O1,NULL,NULL,NULL,NULL
Glicoisoflavanone,C22H24O6,384.1572885,384.1572885,COC1=C(CC=C(C)C)C(OC)=C(C2CC(=O)C3=C(O2)C=C(O)C=C3)C(O)=C1,NULL,NULL,NULL,NULL
O-Ethylcubebin,C22H24O6,384.1572885,384.1572885,CCOC1OCC(CC2=CC3=C(OCO3)C=C2)C1CC1=CC2=C(OCO2)C=C1,NULL,NULL,NULL,NULL
2-3-Butanediol apiosylglucoside,C15H28O11,384.1631617,384.1631617,CC(O)C(C)OC1OC(COC2OCC(O)(CO)C2O)C(O)C(O)C1O,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
(6beta-7alpha-12alpha-13alpha)-7-Hydroxy-11-16-dioxo-8-14-apianadien-22-6-olide,C23H28O5,384.193674,384.193674,CC(C)C12C(C(C)=CC1=O)C1=C(C2=O)C23CCCC(C)(C)C2C(OC3=O)C1O,NULL,NULL,NULL,NULL
(6beta-7alpha-12beta-13beta)-7-Hydroxy-11-16-dioxo-8-14-apianadien-22-6-olide,C23H28O5,384.193674,384.193674,CC(C)C12C(C(C)=CC1=O)C1=C(C2=O)C23CCCC(C)(C)C2C(OC3=O)C1O,NULL,NULL,NULL,NULL
(6beta-7beta-12beta-13beta)-7-Hydroxy-11-16-dioxo-8-14-apianadien-22-6-olide,C23H28O5,384.193674,384.193674,[H][C@]12C(C)=CC(=O)[C@@]1(C(C)C)C(=O)C1=C2[C@@H](O)[C@H]2OC(=O)[C@@]11CCCC(C)(C)C21,NULL,NULL,NULL,NULL
Armillarivin,C23H28O5,384.193674,384.193674,CC1=CC(O)=CC(O)=C1C(=O)OC1CC2(C)C1C(C=O)=CC1CC(C)(C)CC21,NULL,NULL,NULL,NULL
Cinnzeylanol,C20H32O7,384.2148034,384.2148034,CC(C)C1(O)CC2(O)C3(C)CC4(O)OC5(C(O)C(C)CCC35O)C2(O)C14C,NULL,NULL,NULL,NULL
(3S-5R-8R)-Persicachrome,C25H36O3,384.266445,384.266445,C\C(CO)=C/C=C\C=C(/C)\C=C\C=C(\C)C1OC2(C)CC(O)CC(C)(C)C2=C1,NULL,NULL,NULL,NULL
(3S-5R-8S)-Persicachrome,C25H36O3,384.266445,384.266445,C\C(CO)=C/C=C\C=C(/C)\C=C\C=C(\C)C1OC2(C)CC(O)CC(C)(C)C2=C1,NULL,NULL,NULL,NULL
Persicachrome,C25H36O3,384.266445,384.266445,C\C(CO)=C/C=C\C=C(/C)\C=C\C=C(\C)C1OC2(C)CC(O)CC(C)(C)C2=C1,NULL,NULL,NULL,NULL
Persicaxanthin,C25H36O3,384.266445,384.266445,C\C(CO)=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C12OC1(C)CC(O)CC2(C)C,NULL,NULL,NULL,NULL
MG(0:0/20:1(11Z)/0:0),C23H44O4,384.3239599,384.3239599,CCCCCCCCC=CCCCCCCCCCC(=O)OC(CO)CO,NULL,NULL,NULL,NULL
MG(0:0/20:1(13Z)/0:0),C23H44O4,384.3239599,384.3239599,[H]C(CO)(CO)OC(=O)CCCCCCCCCCC\C=C/CCCCCC,NULL,NULL,NULL,NULL
MG(20:1(11Z)/0:0/0:0),C23H44O4,384.3239599,384.3239599,[H][C@](O)(CO)COC(=O)CCCCCCCCCC=CCCCCCCCC,NULL,NULL,NULL,NULL
MG(20:1(13Z)/0:0/0:0),C23H44O4,384.3239599,384.3239599,[H][C@](O)(CO)COC(=O)CCCCCCCCCCC\C=C/CCCCCC,NULL,NULL,NULL,NULL
Tetrahydropersin,C23H44O4,384.3239599,384.3239599,CCCCCCCCCCCCCCCCCC(=O)CC(O)COC(C)=O,NULL,NULL,NULL,NULL
23-Dehydrocholesterol,C27H44O,384.339216,384.339216,CC(C)\C=C\C[C@@H](C)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,NULL,NULL,NULL,NULL
5伪-cholesta-7-24-dien-3尾-ol,C27H44O,384.339216,384.339216,CC(CCC=C(C)C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC12C,NULL,NULL,NULL,NULL
cholest-5-en-3-one,C27H44O,384.339216,384.339216,CC(C)CCCC(C)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,NULL,NULL,NULL,NULL
delta-24-Cholesterol,C27H44O,384.339216,384.339216,C[C@H](CCC=C(C)C)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,NULL,NULL,NULL,NULL
Vitamin D,C27H44O,384.339216,384.339216,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)C,NULL,NULL,NULL,NULL
Vitamin D3,C27H44O,384.339216,384.339216,CC(C)CCCC(C)C1CCC2\C(CCCC12C)=C\C=C1/CC(O)CCC1=C,NULL,NULL,NULL,NULL
zymosterol,C27H44O,384.339216,384.339216,[H][C@@](C)(CCC=C(C)C)[C@@]1([H])CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@]1([H])CC3,NULL,NULL,NULL,NULL
7-Dehydrocholesterol,C27H44O,384.339216,384.339216,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])C2=CC=C2C[C@@H](O)CC[C@]12C,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
Desmosterol,C27H44O,384.339216,384.339216,[H][C@@]12CC=C3C[C@@H](O)CC[C@]3(C)[C@H]1CC[C@]1(C)[C@H](CC[C@@H]21)C(C)CCC=C(C)C,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
24-Hydroxytetracosanoic acid,C24H48O3,384.3603454,384.3603454,OCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,NULL,NULL,NULL,NULL
Cerebronic acid,C24H48O3,384.3603454,384.3603454,CCCCCCCCCCCCCCCCCCCCCCC(O)C(O)=O,NULL,NULL,NULL,NULL
erythro-6-8-Pentacosanediol,C25H52O2,384.3967309,384.3967309,CCCCCCCCCCCCCCCCCC(O)CC(O)CCCCC,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
Niazicin B,C17H23NO7S,385.1195233,385.1195228,CO\C([S-])=[NH+]\CC1=CC=C(O[C@@H]2OC(C)[C@H](OC(C)=O)[C@@H](O)[C@H]2O)C=C1,NULL,NULL,NULL,NULL
Romucosine H,C21H23NO6,385.1525375,385.1525375,COC(=O)N1CCC2=CC(OC)=C(OC)C3=C2C1CC1=C3C(O)=C(OC)C=C1,NULL,NULL,NULL,NULL
Thalicpureine,C22H27NO5,385.188923,385.188923,CNCCC1=C(OC)C(OC)=C(OC)C2=C1C=CC1=C2C=C(OC)C(OC)=C1,NULL,NULL,NULL,NULL
Fistulosin,C26H43NO,385.334465,385.334465,CCCCCCCCCCCCCCCCCCC1=C(O)C2=CC=CC=C2N1,NULL,NULL,NULL,NULL
Shoyuflavone A,C19H14O9,386.063782,386.063782,OC(C(OC1=CC2=C(C=C1)C(=O)C(=CO2)C1=CC=C(O)C=C1)C(O)=O)C(O)=O,NULL,NULL,NULL,NULL
betanidin quinone,C18H14N2O8,386.0750154,384.0604625,[O-]C(=O)C1CC2=CC(=O)C(=O)C=C2[N+]1=CC=C1CC(NC(=C1)C([O-])=O)C([O-])=O,NULL,NULL,NULL,NULL
2-trans-O-Feruloylglucaric acid,C16H18O11,386.0849114,386.0849114,COC1=C(O)C=CC(\C=C\C(=O)O[C@H]([C@@H](O)[C@H](O)[C@H](O)C(O)=O)C(O)=O)=C1,NULL,NULL,NULL,NULL
8-4'-Dehydrodiferulic acid,C20H18O8,386.1001675,386.1001676,COC1=C(O)C=CC(\C=C(\OC2=C(OC)C=C(\C=C/C(O)=O)C=C2)C(O)=O)=C1,NULL,NULL,NULL,NULL
buddlenol C,C20H18O8,386.1001675,386.1001675,[H]C(=C([H])C1=CC(\C(=C(\[H])C2=CC(OC)=C(O)C=C2)C(O)=O)=C(O)C(OC)=C1)C(O)=O,NULL,NULL,NULL,NULL
1-O-Sinapoylglucose,C17H22O10,386.1212969,386.1212969,COC1=CC(\C=C\C(=O)OC2OC(CO)C(O)C(O)C2O)=CC(OC)=C1O,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
1-O-Sinapoyl-beta-D-glucose,C17H22O10,386.1212969,386.1212969,COC1=CC(\C=C\C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O,NULL,NULL,NULL,NULL
1-O-sinapoyl-尾-D-glucose,C17H22O10,386.1212969,386.1212969,COC1=CC(C=CC(=O)OC2OC(CO)C(O)C(O)C2O)=CC(OC)=C1O,NULL,NULL,NULL,NULL
4'-O-Glucopyranosylsinapic acid,C17H22O10,386.1212969,386.1212969,COC1=CC(\C=C\C(O)=O)=CC(OC)=C1OC1OC(CO)C(O)C(O)C1O,NULL,NULL,NULL,NULL
